historyPart;frontWord;nextWord;historyNr
Unser Planet, die Erde, erscheint blau, ;-1;1;1
 man sie vom Weltall aus betrachtet. ;1;2;1
 liegt daran, dass ein großer ;2;3;1
 des Planeten von Wasser bedeckt ist. ;3;-1;1
Tiere kommen an unterschiedlichen Orten vor. Sie ;-1;4;2
 zum Beispiel im Wald, im Wasser ;4;5;2
unter der Erde. Das sind die ;5;6;2
. Andere Tiere leben bei uns Menschen. ;6;7;2
 nennen wir Nutztiere und Haustiere. Nutztiere ;7;8;2
 so, weil sie für uns Menschen ;8;9;2
 sind. Bei uns leben Nutztiere vor ;9;10;2
 am Bauernhof. Eines der bekanntesten Nutztiere ;10;11;2
 das Schwein. Es liefert Fleisch für ;11;12;2
 und andere Fleischgerichte. Die Kuh ist ;12;13;2
 ein Nutztier. Von ihr bekommen wir ;13;14;2
 nur Fleisch, sondern auch Milch. Übrigens ;14;15;2
 auch Schafe und Ziegen Milch. Aus ;15;16;2
 Milch können wir Käse und Joghurt ;16;17;2
. Unsere Eier kommen von einem weiteren;17;18;2
: dem Huhn.;18;-1;2
Im Sommer werden die Tomaten reif. ;-1;19;3
 erntet sie der Bauer. Mit einem ;19;20;3
 werden die Tomaten in eine Fabrik ;20;21;3
. Dort werden sie zuerst gewaschen. Dann ;21;22;3
 sie geschält und zerkleinert. Aus den ;22;23;3
 Tomaten wird die Soße hergestellt. Die ;23;24;3
 Tomatensoße wird in Flaschen, Dosen oder ;24;25;3
 abgefüllt. Diese gibt man dann in ;25;26;3
. Danach kommt wieder ein Lastwagen und;26;27;3
 die Kisten zum Supermarkt. Der Weg ;27;28;3
 ist manchmal sehr weit. Im Supermarkt ;28;29;3
 die Verkäufer und Verkäuferinnen schon auf ;29;30;3
 Lieferung. Sie müssen die Tomatensoße dann ;30;31;3
 und einräumen. Viele Menschen kaufen Tomatensoße, ;31;32;3
 damit zum Beispiel eine köstliche Pizza ;32;33;3
 backen.;33;-1;3
